"Recency","frequency","monetary","recency_score","frequency_score","monetary_score","rfm_segment"
326,1,77183.6,1,1,5,"115"
3,7,4310.0,5,2,5,"525"
76,4,1797.24,2,1,5,"215"
19,1,1757.55,5,1,5,"515"
311,1,334.4,1,1,3,"113"
37,8,2506.04,4,2,5,"425"
205,1,89.0,1,1,1,"111"
233,1,1079.4,1,1,5,"115"
215,1,459.4,1,1,3,"113"
23,3,2811.43,4,1,5,"415"
34,1,6207.67,4,1,5,"415"
2,2,1168.06,5,1,5,"515"
58,4,6372.58,3,1,5,"315"
53,3,2662.06,3,1,5,"315"
288,1,189.9,1,1,2,"112"
4,10,5226.23,5,3,5,"535"
110,2,552.0,1,1,4,"114"
8,4,1313.1,5,1,5,"515"
292,2,641.38,1,1,4,"114"
5,1,168.9,5,1,2,"512"
52,4,3545.69,3,1,5,"315"
45,2,1887.96,3,1,5,"315"
72,3,1298.04,2,1,5,"215"
312,1,364.6,1,1,3,"113"
26,1,742.93,4,1,4,"414"
11,2,457.5,5,1,3,"513"
316,2,1628.12,1,1,5,"115"
130,1,4008.62,1,1,5,"115"
82,2,852.24,1,1,4,"114"
22,4,2724.81,4,1,5,"415"
5,5,1845.31,5,2,5,"525"
185,5,1850.56,1,2,5,"125"
29,2,585.27,4,1,4,"414"
338,2,401.9,1,1,3,"113"
16,6,2780.66,5,2,5,"525"
80,1,549.84,2,1,4,"214"
22,1,460.89,4,1,3,"413"
73,4,1582.6,2,1,5,"215"
64,2,1272.48,2,1,5,"215"
20,12,3018.63,5,3,5,"535"
36,2,2409.9,4,1,5,"415"
46,1,1635.66,3,1,5,"315"
120,4,1108.65,1,1,5,"115"
304,1,84.3,1,1,1,"111"
324,1,225.6,1,1,2,"112"
50,1,427.7,3,1,3,"313"
149,1,1710.39,1,1,5,"115"
23,2,3415.3,4,1,5,"415"
50,5,1708.12,3,2,5,"325"
33,5,2888.55,4,2,5,"425"
79,3,11072.67,2,1,5,"215"
309,2,693.33,1,1,4,"114"
75,3,1226.88,2,1,5,"215"
67,3,758.1,2,1,4,"214"
218,3,562.41,1,1,4,"114"
25,21,124914.53,4,5,5,"455"
4,9,3649.1,5,2,5,"525"
113,1,668.58,1,1,4,"114"
64,1,600.39,2,1,4,"214"
16,4,807.04,5,1,4,"514"
96,3,803.56,1,1,4,"114"
1,8,1859.31,5,2,5,"525"
163,2,1760.96,1,1,5,"115"
79,1,777.2,2,1,4,"214"
195,1,582.73,1,1,4,"114"
22,3,825.8,4,1,4,"414"
26,9,7956.46,4,2,5,"425"
10,4,3750.4,5,1,5,"515"
44,1,256.4,3,1,3,"313"
36,15,6487.45,4,4,5,"445"
43,5,5059.32,3,2,5,"325"
1,7,13375.87,5,2,5,"525"
85,2,806.14,1,1,4,"114"
80,2,7829.89,2,1,5,"215"
100,1,509.01,1,1,4,"114"
2,18,4951.41,5,4,5,"545"
15,2,2906.85,5,1,5,"515"
367,1,173.55,1,1,2,"112"
4,1,172.06,5,1,2,"512"
22,5,5005.46,4,2,5,"425"
23,1,133.4,4,1,2,"412"
58,1,1002.31,3,1,5,"315"
244,1,476.49,1,1,3,"113"
45,1,449.45,3,1,3,"313"
23,4,4067.29,4,1,5,"415"
157,2,197.88,1,1,2,"112"
11,5,9035.52,5,2,5,"525"
17,2,430.57,5,1,3,"513"
135,1,707.09,1,1,4,"114"
57,1,3528.34,3,1,5,"315"
74,6,2466.86,2,2,5,"225"
45,3,3181.04,3,1,5,"315"
67,7,2363.23,2,2,5,"225"
72,2,947.4,2,1,4,"214"
95,2,826.88,1,1,4,"114"
19,2,1189.59,5,1,5,"515"
54,4,1344.78,3,1,5,"315"
11,8,1212.05,5,2,5,"525"
18,2,742.19,5,1,4,"514"
188,2,729.54,1,1,4,"114"
3,30,19824.05,5,5,5,"555"
33,7,6572.11,4,2,5,"425"
30,5,3938.55,4,2,5,"425"
18,18,7375.79,5,4,5,"545"
54,1,723.38,3,1,4,"314"
16,11,6816.42,5,3,5,"535"
23,6,13219.74,4,2,5,"425"
4,1,680.99,5,1,4,"514"
12,1,527.2,5,1,4,"514"
29,4,3281.63,4,1,5,"415"
23,10,5596.32,4,3,5,"435"
18,8,2484.98,5,2,5,"525"
